Spectraltype,Temperature (K),absolute-magnitude
,6277,3.749966862
,6277,3.749966862
,5946,3.750034181
,5946,3.750034181
,5979,3.754321875
,,3.754976675
,5904,3.755524178
,5904,3.755524178
,5904,3.755524178
,5904,3.755524178
,5904,3.755524178
,5576,3.760009625
,6282,3.760568213
,6282,3.760568213
,6173,3.766324791
,5912,3.768410312
,6356,3.77226444
,5920,3.777932039
,5920,3.777932039
,5920,3.777932039
,6101,3.778489139
,6400,3.779359822
,6032,3.787137016
,6032,3.787137016
,6140,3.787886596
,6270,3.788524133
,6270,3.788524133
,6270,3.788524133
,6169,3.788620652
,5835,3.789670581
,5349,3.790243294
,5349,3.790243294
,6199,3.791010283
,6199,3.791010283
,6199,3.791010283
,6199,3.791010283
,6199,3.791010283
,5981,3.791375122
,6108,3.792051883
,6108,3.792051883
,5362,3.792342215
,6175,3.793975091
,6296,3.796211956
,6040,3.796693683
,6251,3.79680395
,6386,3.797289226
,6370,3.802383062
,6202,3.802784418
,6073,3.81235527
,6071,3.81319025
,6096,3.81823109
,6570,3.819624722
,6570,3.819624722
,6310,3.819809494
,6004,3.820860625
,6004,3.820860625
,6004,3.820860625
,6266,3.821463671
,6170,3.823637474
,5772,3.824300893
,6090,3.824815307
,6090,3.824815307
,5794,3.825243341
,6337,3.825645386
