pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
HATS-35,b,HATS-35 b,6300,,0.465,,3.830724024
HATS-36,b,HATS-36 b,5950,4,,0.674,4.666920433
HATS-39,b,HATS-39 b,6572,,0.64,,3.30510253
HATS-4,b,HATS-4 b,5403,4,-0.187,0.808,5.342753548
HATS-40,b,HATS-40 b,6460,,0.903,,2.598801831
HATS-41,b,HATS-41 b,6424,,0.653,,3.165550065
HATS-42,b,HATS-42 b,6060,,0.425,,3.746745486
HATS-43,b,HATS-43 b,5099,,-0.398,,5.929228105
HATS-44,b,HATS-44 b,5080,,-0.398,,6.100095045
HATS-45,b,HATS-45 b,6450,,0.425,,3.743233482
HATS-46,b,HATS-46 b,5495,,-0.23,,5.37760993
HATS-5,b,HATS-5 b,5304,4,-0.268,0.809,5.580334383
HATS-50,b,HATS-50 b,5990,,0.143,,4.755404222
HATS-51,b,HATS-51 b,5758,,0.31,,4.073860517
HATS-52,b,HATS-52 b,6010,,0.068,,4.668853204
HATS-53,b,HATS-53 b,5644,,0.045,,4.852697627
HATS-59,b,HATS-59 b,5670,,-0.004,,4.870191363
HATS-59,c,HATS-59 c,5670,,-0.004,,4.870191363
HATS-6,b,HATS-6 b,3724,6.1,,1.504,9.302830495
HATS-60,b,HATS-60 b,5688,,0.3,,4.171046948
HATS-61,b,HATS-61 b,5542,,0.369,,4.026202648
HATS-62,b,HATS-62 b,5416,,-0.173,,5.448387475
HATS-63,b,HATS-63 b,5627,,0.012,,4.87881541
HATS-64,b,HATS-64 b,6554,,0.867,,2.750857717
HATS-65,b,HATS-65 b,6277,,0.377,,4.023974005
HATS-66,b,HATS-66 b,6626,,0.767,,3.160218323
HATS-67,b,HATS-67 b,6594,,0.547,,3.692442561
HATS-68,b,HATS-68 b,6147,,0.592,,3.320354996
HATS-69,b,HATS-69 b,5137,,-0.318,,5.82720305
HATS-7,b,HATS-7 b,4985,5.2,-0.434,,6.290334383
HATS-70,b,HATS-70 b,7930,,1.079,,1.992622062
HATS-8,b,HATS-8 b,5679,,,,4.437227347
HATS-9,b,HATS-9 b,5599,,,0.804,4.196916281
HD 100546,b,HD 100546 b,10500,1.9,1.5,0.003,1.770141329
HD 100655,b,HD 100655 b,4891,4.9,,1.01,0.75501493
HD 100777,b,HD 100777 b,5533,4.8,,0.777,4.940591618
HD 10180,c,HD 10180 c,5911,4.1,,0.627,4.364563675
HD 10180,d,HD 10180 d,5911,4.1,,0.627,4.364563675
HD 10180,e,HD 10180 e,5911,4.1,,0.627,4.364563675
HD 10180,f,HD 10180 f,5911,4.1,,0.627,4.364563675
HD 10180,g,HD 10180 g,5911,4.1,,0.627,4.364563675
HD 10180,h,HD 10180 h,5911,4.1,,0.627,4.364563675
HD 101930,b,HD 101930 b,5108,5.1,,0.908,5.820777618
HD 102117,b,HD 102117 b,5655,4.6,,0.72,4.480427644
HD 102195,b,HD 102195 b,5301,5,,0.835,5.723219744
HD 102272,b,HD 102272 b,4790,5,,1.02,0.969597737
HD 102329,b,HD 102329 b,4745,5,,1.04,1.343537986
HD 102329,c,HD 102329 c,4745,5,,1.04,1.343537986
HD 102365,b,HD 102365 b,5630,4.4,,0.66,5.06992143
HD 102956,b,HD 102956 b,4985,4.5,,0.973,2.422512638
HD 103197,b,HD 103197 b,5250,5.1,,0.914,5.602501875
HD 103720,b,HD 103720 b,5017,5.3,,0.95,6.394533347
HD 103774,b,HD 103774 b,6489,3.5,0.544,0.49,3.360757761
HD 104067,b,HD 104067 b,4937,5.2,,0.99,6.383979102
HD 10442,b,HD 10442 b,4912,5,,0.93,2.174062507
HD 104985,b,HD 104985 b,4877,4.9,1.778,1.029,0.781405181
HD 106252,b,HD 106252 b,5874,4,,0.616,4.543641989
HD 106270,b,HD 106270 b,5509,4.5,,0.742,2.712975128
HD 106315,b,HD 106315 b,6277,3.5,,0.451,3.749966862
HD 106315,c,HD 106315 c,6277,3.5,,0.451,3.749966862
HD 10647,b,HD 10647 b,6218,3.9,0.149,0.55,4.324754534
HD 106515 A,b,HD 106515 A b,5362,4.5,0.09,0.821,5.306954888
HD 106906,b,HD 106906 b,6516,3.5,0.75,0.44,2.725867853
HD 10697,b,HD 10697 b,5600,4.5,,0.706,3.703912
HD 107148,b,HD 107148 b,5797,4.5,,0.702,4.542412731
HD 108147,b,HD 108147 b,6265,3.9,0.286,0.538,4.041905259
HD 108341,b,HD 108341 b,5122,5.2,,0.93,5.891365255
HD 108863,b,HD 108863 b,4878,5,,0.99,1.615747612
HD 108874,b,HD 108874 b,5600,4.5,,0.765,4.559547143
HD 108874,c,HD 108874 c,5600,4.5,,0.765,4.559547143
HD 109246,b,HD 109246 b,5844,4,,0.64,4.685480803
HD 109271,b,HD 109271 b,5783,4.5,0.301,0.659,4.315611471
HD 109271,c,HD 109271 c,5783,4.5,0.301,0.659,4.315611471
HD 109749,b,HD 109749 b,5824,4.3,0.19,0.714,4.076414609
HD 110014,b,HD 110014 b,4445,5.2,,1.24,-0.111212547
HD 111232,b,HD 111232 b,5512,4.5,,0.701,5.279508094
HD 111591,b,HD 111591 b,4884,5,1.581,1.002,1.132214106
HD 111998,b,HD 111998 b,6557,3.5,,,3.535269973
HD 113337,b,HD 113337 b,6576.6,3.6,,0.415,3.21325777
HD 113538,b,HD 113538 b,4462,5.9,,1.376,8.050014378
HD 113538,c,HD 113538 c,4462,5.9,,1.376,8.050014378
HD 113996,b,HD 113996 b,4181,5.5,2.464,1.482,-0.215109628
HD 114386,b,HD 114386 b,4836,5.3,,0.98,6.498090939
HD 114613,b,HD 114613 b,5641,4.4,,0.7,3.313589765
HD 114729,b,HD 114729 b,5835,4,,0.52,3.789670581
HD 114762,b,HD 114762 b,5869,3.8,,0.517,4.278249837
HD 114783,b,HD 114783 b,5135,5,,0.92,6.001849163
HD 114783,c,HD 114783 c,5135,5,,0.92,6.001849163
HD 11506,b,HD 11506 b,6030,4,0.33,0.607,3.942547285
HD 11506,c,HD 11506 c,6030,4,0.33,0.607,3.942547285
HD 116029,b,HD 116029 b,4819,5,,1.009,2.578502617
HD 116029,c,HD 116029 c,4819,5,,1.009,2.578502617
HD 117207,b,HD 117207 b,5662,4.8,,0.72,4.708615778
HD 11755,b,HD 11755 b,4312,4.5,,1.216,0.047245023
HD 117618,b,HD 117618 b,5990,4.2,,0.6,4.280392377
HD 118203,b,HD 118203 b,5864,5,,0.699,3.219056595
HD 119130,b,HD 119130 b,5725,4.3,,0.663,4.626958836
HD 11964,b,HD 11964 b,5349,4.8,,0.82,3.790243294
HD 11964,c,HD 11964 c,5349,4.8,,0.82,3.790243294
HD 11977,b,HD 11977 b,4970,4.8,,0.931,0.525859352
HD 120084,b,HD 120084 b,4892,4.7,1.64,1.017,0.827447595
HD 121504,b,HD 121504 b,6027,4.2,,0.602,4.415799051
HD 12484,b,HD 12484 b,5920,3.8,,0.66,4.627895499
HD 125595,b,HD 125595 b,4691,5.4,,1.107,6.777214953
HD 125612,b,HD 125612 b,5841,4.3,0.06,0.628,4.503368388
HD 125612,c,HD 125612 c,5841,4.3,0.06,0.628,4.503368388
HD 125612,d,HD 125612 d,5841,4.3,0.06,0.628,4.503368388
HD 12648,b,HD 12648 b,4835,4.5,,0.904,0.981224114
HD 12661,b,HD 12661 b,5645,5,,0.731,4.532376974
HD 12661,c,HD 12661 c,5645,5,,0.731,4.532376974
HD 126614,b,HD 126614 b,5568,4.8,,0.874,4.463961855
HD 128311,b,HD 128311 b,,5,,0.94,6.419949785
HD 128311,c,HD 128311 c,,5,,0.94,6.419949785
HD 128356,b,HD 128356 b,4875,5.3,-0.444,1.017,6.212629159
